probe_name,sample_name,num_images,threshold,mean_fake_prob,min_fake_prob,max_fake_prob,fake_positive_rate
animations,example--d0,32,0.1,0.024895528331398964,1.376093496219255e-05,0.29201966524124146,0.0625
animations,example--d0,32,0.2,0.024895528331398964,1.376093496219255e-05,0.29201966524124146,0.03125
animations,example--d0,32,0.3,0.024895528331398964,1.376093496219255e-05,0.29201966524124146,0.0
animations,example--d0,32,0.4,0.024895528331398964,1.376093496219255e-05,0.29201966524124146,0.0
animations,example--d0,32,0.5,0.024895528331398964,1.376093496219255e-05,0.29201966524124146,0.0
animations,example--d0,32,0.6,0.024895528331398964,1.376093496219255e-05,0.29201966524124146,0.0
animations,example--d0,32,0.7,0.024895528331398964,1.376093496219255e-05,0.29201966524124146,0.0
animations,example--d0,32,0.8,0.024895528331398964,1.376093496219255e-05,0.29201966524124146,0.0
animations,example--d0,32,0.9,0.024895528331398964,1.376093496219255e-05,0.29201966524124146,0.0
animations,example--d13,32,0.1,0.29825061559677124,8.986386092146859e-05,0.9989093542098999,0.5
animations,example--d13,32,0.2,0.29825061559677124,8.986386092146859e-05,0.9989093542098999,0.375
animations,example--d13,32,0.3,0.29825061559677124,8.986386092146859e-05,0.9989093542098999,0.3125
animations,example--d13,32,0.4,0.29825061559677124,8.986386092146859e-05,0.9989093542098999,0.28125
animations,example--d13,32,0.5,0.29825061559677124,8.986386092146859e-05,0.9989093542098999,0.28125
animations,example--d13,32,0.6,0.29825061559677124,8.986386092146859e-05,0.9989093542098999,0.25
animations,example--d13,32,0.7,0.29825061559677124,8.986386092146859e-05,0.9989093542098999,0.25
animations,example--d13,32,0.8,0.29825061559677124,8.986386092146859e-05,0.9989093542098999,0.25
animations,example--d13,32,0.9,0.29825061559677124,8.986386092146859e-05,0.9989093542098999,0.21875
animations,example--d18,32,0.1,0.10785829275846481,2.8336033210507594e-05,0.9265394806861877,0.21875
animations,example--d18,32,0.2,0.10785829275846481,2.8336033210507594e-05,0.9265394806861877,0.15625
animations,example--d18,32,0.3,0.10785829275846481,2.8336033210507594e-05,0.9265394806861877,0.125
animations,example--d18,32,0.4,0.10785829275846481,2.8336033210507594e-05,0.9265394806861877,0.09375
animations,example--d18,32,0.5,0.10785829275846481,2.8336033210507594e-05,0.9265394806861877,0.09375
animations,example--d18,32,0.6,0.10785829275846481,2.8336033210507594e-05,0.9265394806861877,0.0625
animations,example--d18,32,0.7,0.10785829275846481,2.8336033210507594e-05,0.9265394806861877,0.0625
animations,example--d18,32,0.8,0.10785829275846481,2.8336033210507594e-05,0.9265394806861877,0.0625
animations,example--d18,32,0.9,0.10785829275846481,2.8336033210507594e-05,0.9265394806861877,0.03125
animations,example--d19,32,0.1,0.18355728685855865,6.697285425616428e-05,0.9814642071723938,0.3125
animations,example--d19,32,0.2,0.18355728685855865,6.697285425616428e-05,0.9814642071723938,0.21875
animations,example--d19,32,0.3,0.18355728685855865,6.697285425616428e-05,0.9814642071723938,0.21875
animations,example--d19,32,0.4,0.18355728685855865,6.697285425616428e-05,0.9814642071723938,0.1875
animations,example--d19,32,0.5,0.18355728685855865,6.697285425616428e-05,0.9814642071723938,0.15625
animations,example--d19,32,0.6,0.18355728685855865,6.697285425616428e-05,0.9814642071723938,0.125
animations,example--d19,32,0.7,0.18355728685855865,6.697285425616428e-05,0.9814642071723938,0.09375
animations,example--d19,32,0.8,0.18355728685855865,6.697285425616428e-05,0.9814642071723938,0.09375
animations,example--d19,32,0.9,0.18355728685855865,6.697285425616428e-05,0.9814642071723938,0.09375
animations,example--d3,31,0.1,0.002686478663235903,1.1538739272509702e-05,0.019018132239580154,0.0
animations,example--d3,31,0.2,0.002686478663235903,1.1538739272509702e-05,0.019018132239580154,0.0
animations,example--d3,31,0.3,0.002686478663235903,1.1538739272509702e-05,0.019018132239580154,0.0
animations,example--d3,31,0.4,0.002686478663235903,1.1538739272509702e-05,0.019018132239580154,0.0
animations,example--d3,31,0.5,0.002686478663235903,1.1538739272509702e-05,0.019018132239580154,0.0
animations,example--d3,31,0.6,0.002686478663235903,1.1538739272509702e-05,0.019018132239580154,0.0
animations,example--d3,31,0.7,0.002686478663235903,1.1538739272509702e-05,0.019018132239580154,0.0
animations,example--d3,31,0.8,0.002686478663235903,1.1538739272509702e-05,0.019018132239580154,0.0
animations,example--d3,31,0.9,0.002686478663235903,1.1538739272509702e-05,0.019018132239580154,0.0
animations,s0--28__podium_speech_happy,9,0.1,0.2232629507780075,0.0009082620963454247,0.999965250492096,0.2222222222222222
animations,s0--28__podium_speech_happy,9,0.2,0.2232629507780075,0.0009082620963454247,0.999965250492096,0.2222222222222222
animations,s0--28__podium_speech_happy,9,0.3,0.2232629507780075,0.0009082620963454247,0.999965250492096,0.2222222222222222
animations,s0--28__podium_speech_happy,9,0.4,0.2232629507780075,0.0009082620963454247,0.999965250492096,0.2222222222222222
animations,s0--28__podium_speech_happy,9,0.5,0.2232629507780075,0.0009082620963454247,0.999965250492096,0.2222222222222222
animations,s0--28__podium_speech_happy,9,0.6,0.2232629507780075,0.0009082620963454247,0.999965250492096,0.2222222222222222
animations,s0--28__podium_speech_happy,9,0.7,0.2232629507780075,0.0009082620963454247,0.999965250492096,0.2222222222222222
animations,s0--28__podium_speech_happy,9,0.8,0.2232629507780075,0.0009082620963454247,0.999965250492096,0.2222222222222222
animations,s0--28__podium_speech_happy,9,0.9,0.2232629507780075,0.0009082620963454247,0.999965250492096,0.2222222222222222
animations,s42--d0,32,0.1,3.3921611475307145e-07,2.489756312229474e-08,3.553184569682344e-06,0.0
animations,s42--d0,32,0.2,3.3921611475307145e-07,2.489756312229474e-08,3.553184569682344e-06,0.0
animations,s42--d0,32,0.3,3.3921611475307145e-07,2.489756312229474e-08,3.553184569682344e-06,0.0
animations,s42--d0,32,0.4,3.3921611475307145e-07,2.489756312229474e-08,3.553184569682344e-06,0.0
animations,s42--d0,32,0.5,3.3921611475307145e-07,2.489756312229474e-08,3.553184569682344e-06,0.0
animations,s42--d0,32,0.6,3.3921611475307145e-07,2.489756312229474e-08,3.553184569682344e-06,0.0
animations,s42--d0,32,0.7,3.3921611475307145e-07,2.489756312229474e-08,3.553184569682344e-06,0.0
animations,s42--d0,32,0.8,3.3921611475307145e-07,2.489756312229474e-08,3.553184569682344e-06,0.0
animations,s42--d0,32,0.9,3.3921611475307145e-07,2.489756312229474e-08,3.553184569682344e-06,0.0
animations,s42--d3,32,0.1,0.027861399576067924,4.029593103638263e-09,0.890941321849823,0.03125
animations,s42--d3,32,0.2,0.027861399576067924,4.029593103638263e-09,0.890941321849823,0.03125
animations,s42--d3,32,0.3,0.027861399576067924,4.029593103638263e-09,0.890941321849823,0.03125
animations,s42--d3,32,0.4,0.027861399576067924,4.029593103638263e-09,0.890941321849823,0.03125
animations,s42--d3,32,0.5,0.027861399576067924,4.029593103638263e-09,0.890941321849823,0.03125
animations,s42--d3,32,0.6,0.027861399576067924,4.029593103638263e-09,0.890941321849823,0.03125
animations,s42--d3,32,0.7,0.027861399576067924,4.029593103638263e-09,0.890941321849823,0.03125
animations,s42--d3,32,0.8,0.027861399576067924,4.029593103638263e-09,0.890941321849823,0.03125
animations,s42--d3,32,0.9,0.027861399576067924,4.029593103638263e-09,0.890941321849823,0.0
animations,s42--d9,32,0.1,9.028088243212551e-05,4.6993169355857844e-09,0.0008759608026593924,0.0
animations,s42--d9,32,0.2,9.028088243212551e-05,4.6993169355857844e-09,0.0008759608026593924,0.0
animations,s42--d9,32,0.3,9.028088243212551e-05,4.6993169355857844e-09,0.0008759608026593924,0.0
animations,s42--d9,32,0.4,9.028088243212551e-05,4.6993169355857844e-09,0.0008759608026593924,0.0
animations,s42--d9,32,0.5,9.028088243212551e-05,4.6993169355857844e-09,0.0008759608026593924,0.0
