threshold,split,scope,balanced_accuracy,accuracy,fake_accuracy,real_accuracy,auc,fake_positive_rate,mean_fake_prob
0.4,cdf_real_subset,Celeb-real,,0.7902835315005111,,0.7902835315005111,,0.20971646849948888,0.19616834819316864
0.4,cdf_real_subset,YouTube-real,,0.6929316338354577,,0.6929316338354577,,0.3070683661645423,0.2908821702003479
0.4,cdf_real_subset,pooled,,0.7573717948717948,,0.7573717948717948,,0.24262820512820513,0.22818823158740997
0.5,validation,pooled,0.989140625,0.9869886735935599,0.97828125,1.0,0.9999977746322672,,
0.5,test_ff,summary,0.9010512125956287,0.8748699836586367,0.8341024251912572,0.968,0.9733813138022592,,
0.5,ood,summary,0.8052334754091962,0.8580064344178973,0.6856158690497384,0.9248510817686538,0.8739814440263681,,
0.5,cdf_real_subset,Celeb-real,,0.802388766342067,,0.802388766342067,,0.19761123365793296,0.19616834819316864
0.5,cdf_real_subset,YouTube-real,,0.7051511640155904,,0.7051511640155904,,0.2948488359844096,0.2908821702003479
0.5,cdf_real_subset,pooled,,0.7695156695156695,,0.7695156695156695,,0.23048433048433048,0.22818823158740997
0.6,validation,pooled,0.9859375,0.983150800336984,0.971875,1.0,0.9999977746322672,,
0.6,test_ff,summary,0.9005857782910082,0.8719743501243945,0.8261715565820164,0.975,0.9733813138022592,,
0.6,ood,summary,0.8031916114917194,0.8564497450152331,0.6770780701203988,0.9293051528630397,0.8739814440263681,,
0.6,cdf_real_subset,Celeb-real,,0.812557163608974,,0.812557163608974,,0.187442836391026,0.19616834819316864
0.6,cdf_real_subset,YouTube-real,,0.7157905825344991,,0.7157905825344991,,0.2842094174655009,0.2908821702003479
0.6,cdf_real_subset,pooled,,0.7798433048433049,,0.7798433048433049,,0.22015669515669517,0.22818823158740997
0.7,validation,pooled,0.981640625,0.9780024337732847,0.96328125,1.0,0.9999977746322672,,
0.7,test_ff,summary,0.8982307657049534,0.8669749133836896,0.8159615314099069,0.9805000000000001,0.9733813138022592,,
0.7,ood,summary,0.8024101660275909,0.855912656228022,0.668343640758052,0.9364766912971296,0.8739814440263681,,
0.7,cdf_real_subset,Celeb-real,,0.8249852047129714,,0.8249852047129714,,0.17501479528702857,0.19616834819316864
0.7,cdf_real_subset,YouTube-real,,0.729484883598441,,0.729484883598441,,0.27051511640155906,0.2908821702003479
0.7,cdf_real_subset,pooled,,0.7926994301994302,,0.7926994301994302,,0.2073005698005698,0.22818823158740997
0.8,validation,pooled,0.97515625,0.9702330805953384,0.9503125,1.0,0.9999977746322672,,
0.8,test_ff,summary,0.8933771502690956,0.8587133267801019,0.801254300538191,0.9855000000000002,0.9733813138022592,,
0.8,ood,summary,0.800171399565663,0.853983866156207,0.657527768007003,0.942815031124323,0.8739814440263681,,
0.8,cdf_real_subset,Celeb-real,,0.8405337063539032,,0.8405337063539032,,0.15946629364609674,0.19616834819316864
0.8,cdf_real_subset,YouTube-real,,0.7487622458653744,,0.7487622458653744,,0.2512377541346255,0.2908821702003479
0.8,cdf_real_subset,pooled,,0.809508547008547,,0.809508547008547,,0.19049145299145298,0.22818823158740997
0.9,validation,pooled,0.964453125,0.9574089675184874,0.92890625,1.0,0.9999977746322672,,
0.9,test_ff,summary,0.8826293838653873,0.8419939989025086,0.7732587677307743,0.9919999999999999,0.9733813138022592,,
0.9,ood,summary,0.7942377903535883,0.8489607162667197,0.6316171755616793,0.9568584051454976,0.8739814440263681,,
0.9,cdf_real_subset,Celeb-real,,0.8645289718620541,,0.8645289718620541,,0.13547102813794587,0.19616834819316864
0.9,cdf_real_subset,YouTube-real,,0.7749920994416939,,0.7749920994416939,,0.2250079005583061,0.2908821702003479
0.9,cdf_real_subset,pooled,,0.8342592592592593,,0.8342592592592593,,0.16574074074074074,0.22818823158740997
