probe_name,sample_name,video_name,num_images,threshold,mean_fake_prob,fake_positive_rate
animations,s42--d0,DEMO/ADHOC/frames/s42--d0,32,0.9,3.3921611475307145e-07,0.0
animations,s42--d3,DEMO/ADHOC/frames/s42--d3,32,0.1,0.027861399576067924,0.03125
animations,s42--d3,DEMO/ADHOC/frames/s42--d3,32,0.2,0.027861399576067924,0.03125
animations,s42--d3,DEMO/ADHOC/frames/s42--d3,32,0.3,0.027861399576067924,0.03125
animations,s42--d3,DEMO/ADHOC/frames/s42--d3,32,0.4,0.027861399576067924,0.03125
animations,s42--d3,DEMO/ADHOC/frames/s42--d3,32,0.5,0.027861399576067924,0.03125
animations,s42--d3,DEMO/ADHOC/frames/s42--d3,32,0.6,0.027861399576067924,0.03125
animations,s42--d3,DEMO/ADHOC/frames/s42--d3,32,0.7,0.027861399576067924,0.03125
animations,s42--d3,DEMO/ADHOC/frames/s42--d3,32,0.8,0.027861399576067924,0.03125
animations,s42--d3,DEMO/ADHOC/frames/s42--d3,32,0.9,0.027861399576067924,0.0
animations,s42--d9,DEMO/ADHOC/frames/s42--d9,32,0.1,9.028088243212551e-05,0.0
animations,s42--d9,DEMO/ADHOC/frames/s42--d9,32,0.2,9.028088243212551e-05,0.0
animations,s42--d9,DEMO/ADHOC/frames/s42--d9,32,0.3,9.028088243212551e-05,0.0
animations,s42--d9,DEMO/ADHOC/frames/s42--d9,32,0.4,9.028088243212551e-05,0.0
animations,s42--d9,DEMO/ADHOC/frames/s42--d9,32,0.5,9.028088243212551e-05,0.0
animations,s42--d9,DEMO/ADHOC/frames/s42--d9,32,0.6,9.028088243212551e-05,0.0
animations,s42--d9,DEMO/ADHOC/frames/s42--d9,32,0.7,9.028088243212551e-05,0.0
animations,s42--d9,DEMO/ADHOC/frames/s42--d9,32,0.8,9.028088243212551e-05,0.0
animations,s42--d9,DEMO/ADHOC/frames/s42--d9,32,0.9,9.028088243212551e-05,0.0
kobe_test,kobe_sample,UNK/kobe/kobe_frames_copy,24,0.1,0.09688561409711838,0.20833333333333334
kobe_test,kobe_sample,UNK/kobe/kobe_frames_copy,24,0.2,0.09688561409711838,0.20833333333333334
kobe_test,kobe_sample,UNK/kobe/kobe_frames_copy,24,0.3,0.09688561409711838,0.16666666666666666
kobe_test,kobe_sample,UNK/kobe/kobe_frames_copy,24,0.4,0.09688561409711838,0.16666666666666666
kobe_test,kobe_sample,UNK/kobe/kobe_frames_copy,24,0.5,0.09688561409711838,0.08333333333333333
kobe_test,kobe_sample,UNK/kobe/kobe_frames_copy,24,0.6,0.09688561409711838,0.041666666666666664
kobe_test,kobe_sample,UNK/kobe/kobe_frames_copy,24,0.7,0.09688561409711838,0.0
kobe_test,kobe_sample,UNK/kobe/kobe_frames_copy,24,0.8,0.09688561409711838,0.0
kobe_test,kobe_sample,UNK/kobe/kobe_frames_copy,24,0.9,0.09688561409711838,0.0
tiktok,sampled_bundle,UNK/tiktok/563_1774777509,24,0.1,0.06946276128292084,0.25
tiktok,sampled_bundle,UNK/tiktok/563_1774777509,24,0.2,0.06946276128292084,0.041666666666666664
tiktok,sampled_bundle,UNK/tiktok/563_1774777509,24,0.3,0.06946276128292084,0.041666666666666664
tiktok,sampled_bundle,UNK/tiktok/563_1774777509,24,0.4,0.06946276128292084,0.041666666666666664
tiktok,sampled_bundle,UNK/tiktok/563_1774777509,24,0.5,0.06946276128292084,0.041666666666666664
tiktok,sampled_bundle,UNK/tiktok/563_1774777509,24,0.6,0.06946276128292084,0.041666666666666664
tiktok,sampled_bundle,UNK/tiktok/563_1774777509,24,0.7,0.06946276128292084,0.0
tiktok,sampled_bundle,UNK/tiktok/563_1774777509,24,0.8,0.06946276128292084,0.0
tiktok,sampled_bundle,UNK/tiktok/563_1774777509,24,0.9,0.06946276128292084,0.0
tiktok,sampled_bundle,UNK/tiktok/564_1774777598,24,0.1,0.5244478583335876,0.5833333333333334
tiktok,sampled_bundle,UNK/tiktok/564_1774777598,24,0.2,0.5244478583335876,0.5833333333333334
tiktok,sampled_bundle,UNK/tiktok/564_1774777598,24,0.3,0.5244478583335876,0.5416666666666666
tiktok,sampled_bundle,UNK/tiktok/564_1774777598,24,0.4,0.5244478583335876,0.5416666666666666
tiktok,sampled_bundle,UNK/tiktok/564_1774777598,24,0.5,0.5244478583335876,0.5416666666666666
tiktok,sampled_bundle,UNK/tiktok/564_1774777598,24,0.6,0.5244478583335876,0.5416666666666666
tiktok,sampled_bundle,UNK/tiktok/564_1774777598,24,0.7,0.5244478583335876,0.5
tiktok,sampled_bundle,UNK/tiktok/564_1774777598,24,0.8,0.5244478583335876,0.5
tiktok,sampled_bundle,UNK/tiktok/564_1774777598,24,0.9,0.5244478583335876,0.4583333333333333
