probe_name,sample_name,video_name,num_images,threshold,mean_fake_prob,fake_positive_rate
animations,s42--d0,DEMO/ADHOC/frames/s42--d0,32,0.9,0.0007189892930909991,0.0
animations,s42--d3,DEMO/ADHOC/frames/s42--d3,32,0.1,0.03283983841538429,0.03125
animations,s42--d3,DEMO/ADHOC/frames/s42--d3,32,0.2,0.03283983841538429,0.03125
animations,s42--d3,DEMO/ADHOC/frames/s42--d3,32,0.3,0.03283983841538429,0.03125
animations,s42--d3,DEMO/ADHOC/frames/s42--d3,32,0.4,0.03283983841538429,0.03125
animations,s42--d3,DEMO/ADHOC/frames/s42--d3,32,0.5,0.03283983841538429,0.03125
animations,s42--d3,DEMO/ADHOC/frames/s42--d3,32,0.6,0.03283983841538429,0.03125
animations,s42--d3,DEMO/ADHOC/frames/s42--d3,32,0.7,0.03283983841538429,0.03125
animations,s42--d3,DEMO/ADHOC/frames/s42--d3,32,0.8,0.03283983841538429,0.03125
animations,s42--d3,DEMO/ADHOC/frames/s42--d3,32,0.9,0.03283983841538429,0.03125
animations,s42--d9,DEMO/ADHOC/frames/s42--d9,32,0.1,0.009900013916194439,0.03125
animations,s42--d9,DEMO/ADHOC/frames/s42--d9,32,0.2,0.009900013916194439,0.0
animations,s42--d9,DEMO/ADHOC/frames/s42--d9,32,0.3,0.009900013916194439,0.0
animations,s42--d9,DEMO/ADHOC/frames/s42--d9,32,0.4,0.009900013916194439,0.0
animations,s42--d9,DEMO/ADHOC/frames/s42--d9,32,0.5,0.009900013916194439,0.0
animations,s42--d9,DEMO/ADHOC/frames/s42--d9,32,0.6,0.009900013916194439,0.0
animations,s42--d9,DEMO/ADHOC/frames/s42--d9,32,0.7,0.009900013916194439,0.0
animations,s42--d9,DEMO/ADHOC/frames/s42--d9,32,0.8,0.009900013916194439,0.0
animations,s42--d9,DEMO/ADHOC/frames/s42--d9,32,0.9,0.009900013916194439,0.0
kobe_test,kobe_sample,UNK/kobe/kobe_frames_copy,24,0.1,0.2049204558134079,0.25
kobe_test,kobe_sample,UNK/kobe/kobe_frames_copy,24,0.2,0.2049204558134079,0.20833333333333334
kobe_test,kobe_sample,UNK/kobe/kobe_frames_copy,24,0.3,0.2049204558134079,0.20833333333333334
kobe_test,kobe_sample,UNK/kobe/kobe_frames_copy,24,0.4,0.2049204558134079,0.20833333333333334
kobe_test,kobe_sample,UNK/kobe/kobe_frames_copy,24,0.5,0.2049204558134079,0.20833333333333334
kobe_test,kobe_sample,UNK/kobe/kobe_frames_copy,24,0.6,0.2049204558134079,0.20833333333333334
kobe_test,kobe_sample,UNK/kobe/kobe_frames_copy,24,0.7,0.2049204558134079,0.20833333333333334
kobe_test,kobe_sample,UNK/kobe/kobe_frames_copy,24,0.8,0.2049204558134079,0.16666666666666666
kobe_test,kobe_sample,UNK/kobe/kobe_frames_copy,24,0.9,0.2049204558134079,0.125
tiktok,sampled_bundle,UNK/tiktok/563_1774777509,24,0.1,0.22184832394123077,0.5416666666666666
tiktok,sampled_bundle,UNK/tiktok/563_1774777509,24,0.2,0.22184832394123077,0.4583333333333333
tiktok,sampled_bundle,UNK/tiktok/563_1774777509,24,0.3,0.22184832394123077,0.375
tiktok,sampled_bundle,UNK/tiktok/563_1774777509,24,0.4,0.22184832394123077,0.20833333333333334
tiktok,sampled_bundle,UNK/tiktok/563_1774777509,24,0.5,0.22184832394123077,0.125
tiktok,sampled_bundle,UNK/tiktok/563_1774777509,24,0.6,0.22184832394123077,0.125
tiktok,sampled_bundle,UNK/tiktok/563_1774777509,24,0.7,0.22184832394123077,0.041666666666666664
tiktok,sampled_bundle,UNK/tiktok/563_1774777509,24,0.8,0.22184832394123077,0.0
tiktok,sampled_bundle,UNK/tiktok/563_1774777509,24,0.9,0.22184832394123077,0.0
tiktok,sampled_bundle,UNK/tiktok/564_1774777598,24,0.1,0.5562624931335449,0.625
tiktok,sampled_bundle,UNK/tiktok/564_1774777598,24,0.2,0.5562624931335449,0.625
tiktok,sampled_bundle,UNK/tiktok/564_1774777598,24,0.3,0.5562624931335449,0.625
tiktok,sampled_bundle,UNK/tiktok/564_1774777598,24,0.4,0.5562624931335449,0.5833333333333334
tiktok,sampled_bundle,UNK/tiktok/564_1774777598,24,0.5,0.5562624931335449,0.5833333333333334
tiktok,sampled_bundle,UNK/tiktok/564_1774777598,24,0.6,0.5562624931335449,0.5416666666666666
tiktok,sampled_bundle,UNK/tiktok/564_1774777598,24,0.7,0.5562624931335449,0.5
tiktok,sampled_bundle,UNK/tiktok/564_1774777598,24,0.8,0.5562624931335449,0.5
tiktok,sampled_bundle,UNK/tiktok/564_1774777598,24,0.9,0.5562624931335449,0.4583333333333333
