probe_name,sample_name,num_images,threshold,mean_fake_prob,min_fake_prob,max_fake_prob,fake_positive_rate
animations,example--d0,32,0.1,0.057580817490816116,4.394489678816171e-06,0.6349468231201172,0.09375
animations,example--d0,32,0.2,0.057580817490816116,4.394489678816171e-06,0.6349468231201172,0.09375
animations,example--d0,32,0.3,0.057580817490816116,4.394489678816171e-06,0.6349468231201172,0.0625
animations,example--d0,32,0.4,0.057580817490816116,4.394489678816171e-06,0.6349468231201172,0.0625
animations,example--d0,32,0.5,0.057580817490816116,4.394489678816171e-06,0.6349468231201172,0.0625
animations,example--d0,32,0.6,0.057580817490816116,4.394489678816171e-06,0.6349468231201172,0.03125
animations,example--d0,32,0.7,0.057580817490816116,4.394489678816171e-06,0.6349468231201172,0.0
animations,example--d0,32,0.8,0.057580817490816116,4.394489678816171e-06,0.6349468231201172,0.0
animations,example--d0,32,0.9,0.057580817490816116,4.394489678816171e-06,0.6349468231201172,0.0
animations,example--d13,32,0.1,0.33761411905288696,0.00012140222679590806,0.999975323677063,0.46875
animations,example--d13,32,0.2,0.33761411905288696,0.00012140222679590806,0.999975323677063,0.40625
animations,example--d13,32,0.3,0.33761411905288696,0.00012140222679590806,0.999975323677063,0.375
animations,example--d13,32,0.4,0.33761411905288696,0.00012140222679590806,0.999975323677063,0.34375
animations,example--d13,32,0.5,0.33761411905288696,0.00012140222679590806,0.999975323677063,0.3125
animations,example--d13,32,0.6,0.33761411905288696,0.00012140222679590806,0.999975323677063,0.28125
animations,example--d13,32,0.7,0.33761411905288696,0.00012140222679590806,0.999975323677063,0.25
animations,example--d13,32,0.8,0.33761411905288696,0.00012140222679590806,0.999975323677063,0.25
animations,example--d13,32,0.9,0.33761411905288696,0.00012140222679590806,0.999975323677063,0.21875
animations,example--d18,32,0.1,0.17515534162521362,1.1260119208600372e-05,0.9997893571853638,0.28125
animations,example--d18,32,0.2,0.17515534162521362,1.1260119208600372e-05,0.9997893571853638,0.21875
animations,example--d18,32,0.3,0.17515534162521362,1.1260119208600372e-05,0.9997893571853638,0.21875
animations,example--d18,32,0.4,0.17515534162521362,1.1260119208600372e-05,0.9997893571853638,0.1875
animations,example--d18,32,0.5,0.17515534162521362,1.1260119208600372e-05,0.9997893571853638,0.1875
animations,example--d18,32,0.6,0.17515534162521362,1.1260119208600372e-05,0.9997893571853638,0.1875
animations,example--d18,32,0.7,0.17515534162521362,1.1260119208600372e-05,0.9997893571853638,0.15625
animations,example--d18,32,0.8,0.17515534162521362,1.1260119208600372e-05,0.9997893571853638,0.125
animations,example--d18,32,0.9,0.17515534162521362,1.1260119208600372e-05,0.9997893571853638,0.03125
animations,example--d19,32,0.1,0.3037674129009247,8.475924551021308e-05,0.9937136769294739,0.59375
animations,example--d19,32,0.2,0.3037674129009247,8.475924551021308e-05,0.9937136769294739,0.53125
animations,example--d19,32,0.3,0.3037674129009247,8.475924551021308e-05,0.9937136769294739,0.40625
animations,example--d19,32,0.4,0.3037674129009247,8.475924551021308e-05,0.9937136769294739,0.3125
animations,example--d19,32,0.5,0.3037674129009247,8.475924551021308e-05,0.9937136769294739,0.25
animations,example--d19,32,0.6,0.3037674129009247,8.475924551021308e-05,0.9937136769294739,0.1875
animations,example--d19,32,0.7,0.3037674129009247,8.475924551021308e-05,0.9937136769294739,0.15625
animations,example--d19,32,0.8,0.3037674129009247,8.475924551021308e-05,0.9937136769294739,0.125
animations,example--d19,32,0.9,0.3037674129009247,8.475924551021308e-05,0.9937136769294739,0.09375
animations,example--d3,31,0.1,0.00913609005510807,2.35008474192e-06,0.10137183219194412,0.03225806451612903
animations,example--d3,31,0.2,0.00913609005510807,2.35008474192e-06,0.10137183219194412,0.0
animations,example--d3,31,0.3,0.00913609005510807,2.35008474192e-06,0.10137183219194412,0.0
animations,example--d3,31,0.4,0.00913609005510807,2.35008474192e-06,0.10137183219194412,0.0
animations,example--d3,31,0.5,0.00913609005510807,2.35008474192e-06,0.10137183219194412,0.0
animations,example--d3,31,0.6,0.00913609005510807,2.35008474192e-06,0.10137183219194412,0.0
animations,example--d3,31,0.7,0.00913609005510807,2.35008474192e-06,0.10137183219194412,0.0
animations,example--d3,31,0.8,0.00913609005510807,2.35008474192e-06,0.10137183219194412,0.0
animations,example--d3,31,0.9,0.00913609005510807,2.35008474192e-06,0.10137183219194412,0.0
animations,s0--28__podium_speech_happy,9,0.1,0.3095667064189911,0.007649569306522608,0.9999509453773499,0.5555555555555556
animations,s0--28__podium_speech_happy,9,0.2,0.3095667064189911,0.007649569306522608,0.9999509453773499,0.3333333333333333
animations,s0--28__podium_speech_happy,9,0.3,0.3095667064189911,0.007649569306522608,0.9999509453773499,0.3333333333333333
animations,s0--28__podium_speech_happy,9,0.4,0.3095667064189911,0.007649569306522608,0.9999509453773499,0.3333333333333333
animations,s0--28__podium_speech_happy,9,0.5,0.3095667064189911,0.007649569306522608,0.9999509453773499,0.2222222222222222
animations,s0--28__podium_speech_happy,9,0.6,0.3095667064189911,0.007649569306522608,0.9999509453773499,0.2222222222222222
animations,s0--28__podium_speech_happy,9,0.7,0.3095667064189911,0.007649569306522608,0.9999509453773499,0.2222222222222222
animations,s0--28__podium_speech_happy,9,0.8,0.3095667064189911,0.007649569306522608,0.9999509453773499,0.2222222222222222
