threshold,split,scope,num_images,mean_fake_prob,fake_positive_rate,real_accuracy
0.1,cdf_fake_only,summary,650612,0.9164886474609375,0.9704432134667051,
0.1,cdf_real_subset,Celeb-real,18587,0.4508960247039795,0.6699843976973153,0.3300156023026847
0.1,cdf_real_subset,YouTube-real,9493,0.6411982178688049,0.8597914252607184,0.14020857473928158
0.1,cdf_real_subset,pooled,28080,0.5152314305305481,0.7341524216524217,0.26584757834757833
0.2,cdf_fake_only,summary,650612,0.9164886474609375,0.9562673298371379,
0.2,cdf_real_subset,Celeb-real,18587,0.4508960247039795,0.58008285360736,0.41991714639264
0.2,cdf_real_subset,YouTube-real,9493,0.6411982178688049,0.7866849257347519,0.21331507426524807
0.2,cdf_real_subset,pooled,28080,0.5152314305305481,0.6499287749287749,0.35007122507122507
0.3,cdf_fake_only,summary,650612,0.9164886474609375,0.9444384671662988,
0.3,cdf_real_subset,Celeb-real,18587,0.4508960247039795,0.522946145155216,0.47705385484478396
0.3,cdf_real_subset,YouTube-real,9493,0.6411982178688049,0.7212683029600758,0.2787316970399242
0.3,cdf_real_subset,pooled,28080,0.5152314305305481,0.5899928774928775,0.4100071225071225
0.4,cdf_fake_only,summary,650612,0.9164886474609375,0.9340128986246795,
0.4,cdf_real_subset,Celeb-real,18587,0.4508960247039795,0.46957550976488943,0.5304244902351105
0.4,cdf_real_subset,YouTube-real,9493,0.6411982178688049,0.6681765511429474,0.33182344885705256
0.4,cdf_real_subset,pooled,28080,0.5152314305305481,0.5367165242165243,0.4632834757834758
0.5,cdf_fake_only,summary,650612,0.9164886474609375,0.9238808998296988,
0.5,cdf_real_subset,Celeb-real,18587,0.4508960247039795,0.43315220315274117,0.5668477968472588
0.5,cdf_real_subset,YouTube-real,9493,0.6411982178688049,0.6224586537448646,0.37754134625513536
0.5,cdf_real_subset,pooled,28080,0.5152314305305481,0.49715099715099714,0.5028490028490028
0.6,cdf_fake_only,summary,650612,0.9164886474609375,0.9129680977295224,
0.6,cdf_real_subset,Celeb-real,18587,0.4508960247039795,0.4040996395330069,0.595900360466993
0.6,cdf_real_subset,YouTube-real,9493,0.6411982178688049,0.5914884651848731,0.4085115348151269
0.6,cdf_real_subset,pooled,28080,0.5152314305305481,0.46745014245014244,0.5325498575498575
0.7,cdf_fake_only,summary,650612,0.9164886474609375,0.9006735197014504,
0.7,cdf_real_subset,Celeb-real,18587,0.4508960247039795,0.3683757464894819,0.6316242535105181
0.7,cdf_real_subset,YouTube-real,9493,0.6411982178688049,0.5604129358474665,0.43958706415253346
0.7,cdf_real_subset,pooled,28080,0.5152314305305481,0.4332977207977208,0.5667022792022792
0.8,cdf_fake_only,summary,650612,0.9164886474609375,0.8843996114427647,
0.8,cdf_real_subset,Celeb-real,18587,0.4508960247039795,0.33017700543390543,0.6698229945660946
0.8,cdf_real_subset,YouTube-real,9493,0.6411982178688049,0.5216475297587696,0.4783524702412304
0.8,cdf_real_subset,pooled,28080,0.5152314305305481,0.39490740740740743,0.6050925925925926
0.9,cdf_fake_only,summary,650612,0.9164886474609375,0.8573681395363135,
0.9,cdf_real_subset,Celeb-real,18587,0.4508960247039795,0.27207187819443696,0.727928121805563
0.9,cdf_real_subset,YouTube-real,9493,0.6411982178688049,0.4648688507321184,0.5351311492678816
0.9,cdf_real_subset,pooled,28080,0.5152314305305481,0.33725071225071224,0.6627492877492878
