threshold,split,scope,balanced_accuracy,accuracy,fake_accuracy,real_accuracy,auc,ap,eer,fake_positive_rate,mean_fake_prob
0.5,validation,pooled,0.9852941176470589,0.9788946049333861,0.9705882352941176,1.0,0.9998646007912739,0.999947064627516,0.0051470588235293935,,
0.5,test_ff,summary,0.9589884768572764,0.9590722857200504,0.9458515181744832,0.9721254355400698,0.9922763563788498,0.9914407451378676,0.03209187413702148,,
0.5,ood,summary,0.8008173608086896,0.8543736319160433,0.6917709465140015,0.9098637751033779,0.8512571948156519,0.8451707662720516,0.18101539208802872,,
0.5,cdf_real_subset,Celeb-real,,0.5668477968472588,,0.5668477968472588,,,,0.43315220315274117,0.4508959949016571
0.5,cdf_real_subset,YouTube-real,,0.37754134625513536,,0.37754134625513536,,,,0.6224586537448646,0.6411981582641602
0.5,cdf_real_subset,pooled,,0.5028490028490028,,0.5028490028490028,,,,0.49715099715099714,0.5152314305305481
0.6,validation,pooled,0.9822610294117646,0.9745416172008969,0.9645220588235294,1.0,0.9998646007912739,0.999947064627516,0.0051470588235293935,,
0.6,test_ff,summary,0.9582683634860297,0.9590697577894512,0.9378525703825941,0.9786841565894652,0.9922763563788498,0.9914407451378676,0.03209187413702148,,
0.6,ood,summary,0.797862532971983,0.8514698617453292,0.6746896917910385,0.9210353741529275,0.8512571948156519,0.8451707662720516,0.18101539208802872,,
0.6,cdf_real_subset,Celeb-real,,0.595900360466993,,0.595900360466993,,,,0.4040996395330069,0.4508959949016571
0.6,cdf_real_subset,YouTube-real,,0.4085115348151269,,0.4085115348151269,,,,0.5914884651848731,0.6411981582641602
0.6,cdf_real_subset,pooled,,0.5325498575498575,,0.5325498575498575,,,,0.46745014245014244,0.5152314305305481
0.7,validation,pooled,0.9772977941176471,0.9674185463659147,0.9545955882352941,1.0,0.9998646007912739,0.999947064627516,0.0051470588235293935,,
0.7,test_ff,summary,0.9554958201075735,0.9569669918085971,0.9275934028714289,0.9833982373437182,0.9922763563788498,0.9914407451378676,0.03209187413702148,,
0.7,ood,summary,0.7936728801272414,0.8481218221080842,0.6548093120642317,0.932536448190251,0.8512571948156519,0.8451707662720516,0.18101539208802872,,
0.7,cdf_real_subset,Celeb-real,,0.6316242535105181,,0.6316242535105181,,,,0.3683757464894819,0.4508959949016571
0.7,cdf_real_subset,YouTube-real,,0.43958706415253346,,0.43958706415253346,,,,0.5604129358474665,0.6411981582641602
0.7,cdf_real_subset,pooled,,0.5667022792022792,,0.5667022792022792,,,,0.4332977207977208,0.5152314305305481
0.8,validation,pooled,0.9719669117647058,0.9597678406542672,0.9439338235294118,1.0,0.9998646007912739,0.999947064627516,0.0051470588235293935,,
0.8,test_ff,summary,0.9507135144009198,0.953126841755737,0.9126998306054881,0.9887271981963517,0.9922763563788498,0.9914407451378676,0.03209187413702148,,
0.8,ood,summary,0.7880834884370973,0.8423026181045868,0.6323808619546026,0.943786114919592,0.8512571948156519,0.8451707662720516,0.18101539208802872,,
0.8,cdf_real_subset,Celeb-real,,0.6698229945660946,,0.6698229945660946,,,,0.33017700543390543,0.4508959949016571
0.8,cdf_real_subset,YouTube-real,,0.4783524702412304,,0.4783524702412304,,,,0.5216475297587696,0.6411981582641602
0.8,cdf_real_subset,pooled,,0.6050925925925926,,0.6050925925925926,,,,0.39490740740740743,0.5152314305305481
0.9,validation,pooled,0.9583639705882353,0.9402453502176494,0.9167279411764706,1.0,0.9998646007912739,0.999947064627516,0.0051470588235293935,,
0.9,test_ff,summary,0.9404848765837721,0.9447028456267849,0.8850689538234161,0.995900799344128,0.9922763563788498,0.9914407451378676,0.03209187413702148,,
0.9,ood,summary,0.7743545535996669,0.8285811974933394,0.5901107750851718,0.9585983321141619,0.8512571948156519,0.8451707662720516,0.18101539208802872,,
0.9,cdf_real_subset,Celeb-real,,0.727928121805563,,0.727928121805563,,,,0.27207187819443696,0.4508959949016571
0.9,cdf_real_subset,YouTube-real,,0.5351311492678816,,0.5351311492678816,,,,0.4648688507321184,0.6411981582641602
0.9,cdf_real_subset,pooled,,0.6627492877492878,,0.6627492877492878,,,,0.33725071225071224,0.5152314305305481
