split,model,group,method,num_fake,num_real,accuracy,balanced_accuracy,fake_accuracy,real_accuracy,auc
test_ff,full_fusion,EFS,DiT,3711,2000,0.9436175801085624,0.9415156965777418,0.9485313931554837,0.9345,0.9861360819186202
test_ff,full_fusion,EFS,RDDM,3711,2000,0.9770618105410611,0.9672499999999999,1.0,0.9345,0.9999894907033144
test_ff,full_fusion,EFS,SiT,3711,2000,0.9611276483978287,0.9549891538668822,0.9754783077337645,0.9345,0.9926637698733496
test_ff,full_fusion,EFS,StyleGAN2,3711,2000,0.9770618105410611,0.9672499999999999,1.0,0.9345,0.9999952842899489
test_ff,full_fusion,EFS,StyleGAN3,3711,2000,0.9770618105410611,0.9672499999999999,1.0,0.9345,0.9999952842899489
test_ff,full_fusion,EFS,StyleGANXL,2783,2000,0.9726113318001255,0.9672499999999999,1.0,0.9345,1.0
test_ff,full_fusion,EFS,VQGAN,3711,2000,0.9770618105410611,0.9672499999999999,1.0,0.9345,0.9999869307464295
test_ff,full_fusion,EFS,ddim,3711,2000,0.9718087900542812,0.9632079628132579,0.9919159256265158,0.9345,0.9975179196981946
test_ff,full_fusion,EFS,pixart,3711,2000,0.9744353002976711,0.9652289814066289,0.9959579628132579,0.9345,0.998550929668553
test_ff,full_fusion,EFS,sd2.1,3711,2000,0.9761863071265978,0.966576327135543,0.998652654271086,0.9345,0.9996054971705739
test_ff,full_fusion,FE,e4e,4479,2000,0.9797808303750579,0.9672499999999999,1.0,0.9345,0.9999933020763563
test_ff,full_fusion,FE,stargan,200,2000,0.9404545454545454,0.9672499999999999,1.0,0.9345,0.999655
test_ff,full_fusion,FE,starganv2,200,2000,0.9404545454545454,0.9672499999999999,1.0,0.9345,0.999855
test_ff,full_fusion,FR,MRAA,4455,2000,0.9769171185127807,0.9652297979797979,0.9959595959595959,0.9345,0.9984049382716049
test_ff,full_fusion,FR,danet,4411,2000,0.9789424426766495,0.9667965880752664,0.9990931761505327,0.9345,0.9989385626841986
test_ff,full_fusion,FR,facevid2vid,4467,2000,0.9792794185866708,0.9669142041638683,0.9993284083277367,0.9345,0.9998064696664427
test_ff,full_fusion,FR,fomm,4454,2000,0.9797025100712736,0.9672499999999999,1.0,0.9345,0.9997768298158958
test_ff,full_fusion,FR,hyperreenact,4479,2000,0.9797808303750579,0.9672499999999999,1.0,0.9345,0.9999315695467738
test_ff,full_fusion,FR,lia,4447,2000,0.9713044827051341,0.9611784911176073,0.9878569822352148,0.9345,0.9964935911850686
test_ff,full_fusion,FR,mcnet,4400,2000,0.97890625,0.9667954545454546,0.9990909090909091,0.9345,0.9992232954545455
